"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"e750c0bf-b04c-36dd-88d7-6d430c3fdef8","The Man With a Movie Camera",1929,"https://www.rottentomatoes.com/m/man_with_a_movie_camera",266,"98%","88%"
"db2f13d5-96a8-3474-816e-48b6c1c008c0","The Lady Vanishes",1938,"https://www.rottentomatoes.com/m/1011813-lady_vanishes",267,"98%","88%"
"bd259d46-a8a4-3ec7-8cd1-41b5b20102ee","The Umbrellas of Cherbourg",1964,"https://www.rottentomatoes.com/m/the_umbrellas_of_cherbourg_1964",268,"97%","87%"
"cd9060e7-5a09-3f24-af38-8d57a821db37","Mission: Impossible Rogue Nation",2015,"https://www.rottentomatoes.com/m/mission_impossible_rogue_nation",269,"94%","87%"
"f1b518ac-d000-3f79-a85f-cbf619ba9c1d","Three Colors: Blue",1993,"https://www.rottentomatoes.com/m/three_colors_blue",270,"96%","93%"
"e88592e5-e01b-36d3-8726-3ab7e7f7a0b4","Milk",2008,"https://www.rottentomatoes.com/m/milk",271,"93%","89%"
"154fa4fc-b497-3553-aa71-561af91f603b","Traffic",2000,"https://www.rottentomatoes.com/m/1103281-traffic",272,"93%","85%"
"36fc4b4a-6f33-321f-8648-56df1e7b32c3","Invasion of the Body Snatchers",1956,"https://www.rottentomatoes.com/m/1010678-invasion_of_the_body_snatchers",273,"98%","85%"
"a5e462a4-3e04-3db8-8fc4-46ad1144edc7","Thor: Ragnarok",2017,"https://www.rottentomatoes.com/m/thor_ragnarok_2017",274,"93%","87%"
"e645e297-03d0-3b5f-8a75-dd8a39cba4ee","The Odd Couple",1968,"https://www.rottentomatoes.com/m/1015380-odd_couple",275,"98%","89%"
"4c0437d5-d6d0-30b7-af00-831c660f98ce","Bride of Frankenstein",1935,"https://www.rottentomatoes.com/m/bride_of_frankenstein",276,"98%","87%"
"0de88234-5865-355b-a346-32bc836a97db","What's Love Got to Do With It",1993,"https://www.rottentomatoes.com/m/whats_love_got_to_do_with_it",277,"97%","88%"
